radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.22,152.0,39.4,26.39,158.03,0.62
0.43,167.0,32.9,47.21,231.8,1.83
0.65,179.0,20.9,65.47,250.59,2.76
0.87,188.0,15.7,80.81,244.02,3.59
1.08,195.0,10.6,93.2,231.39,4.38
1.31,199.0,8.88,104.66,217.32,5.12
1.52,202.0,4.4,113.51,203.82,5.84
1.73,202.0,2.3,120.8,191.4,6.53
1.96,202.0,3.38,127.95,179.83,7.2
2.17,200.0,4.47,133.72,170.88,7.85
2.39,196.0,2.88,138.13,162.54,8.49
2.6,193.0,3.32,140.07,156.06,9.1
2.83,189.0,2.21,139.86,149.58,9.69
3.04,184.0,14.0,138.24,144.32,10.26
5.87,170.0,5.45,124.36,103.86,16.97
6.08,172.0,6.66,125.28,102.05,17.59
6.3,174.0,3.96,126.27,100.25,18.32
6.52,176.0,5.18,127.31,98.55,18.94
6.74,178.0,3.04,128.27,96.92,19.56
6.95,180.0,2.75,129.11,95.45,20.18
7.16,182.0,2.34,130.08,94.04,20.9
7.39,183.0,3.39,131.37,92.56,21.52
7.6,184.0,7.58,132.89,91.28,22.25
7.82,185.0,6.08,134.56,89.98,22.97
8.03,186.0,6.73,136.18,88.8,23.7
8.26,187.0,6.83,137.94,87.55,24.42
8.47,187.0,6.11,139.4,86.46,25.15
8.68,188.0,4.78,140.55,85.41,25.77
8.91,188.0,4.14,141.3,84.3,26.49
9.53,187.0,5.93,140.15,81.51,28.25
9.78,187.0,7.63,138.99,80.46,28.97
9.99,186.0,7.89,137.71,79.61,29.6
10.21,186.0,9.86,136.12,78.75,30.11
11.46,182.0,2.51,126.5,74.33,33.53
13.39,177.0,3.62,114.46,68.77,37.77
15.21,175.0,6.71,106.58,64.52,39.12
17.13,177.0,6.13,99.72,60.8,39.12
19.06,180.0,3.95,94.0,57.64,39.01
20.99,181.0,4.46,89.28,54.92,38.7
22.92,182.0,7.09,85.64,52.56,37.05
25.7,183.0,7.49,80.57,49.64,34.05
