radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.92,234.0,12.0,121.44,254.98,-5.19
2.32,192.0,12.0,280.89,185.98,-10.42
3.24,212.0,6.3,325.09,158.37,-11.44
4.17,223.0,4.41,311.44,139.66,-11.64
5.1,222.0,4.01,293.95,126.35,-11.54
6.03,224.0,3.85,280.55,116.3,-11.44
6.96,224.0,3.23,271.7,108.06,-9.02
7.89,226.0,3.4,260.33,101.6,6.44
8.8,226.0,3.21,254.4,96.17,16.24
9.73,227.0,2.75,241.26,91.46,25.64
10.64,227.0,2.65,231.49,87.46,32.27
11.58,224.0,2.35,224.36,83.84,35.44
12.52,220.0,2.43,213.5,80.63,42.18
13.46,218.0,2.3,208.0,77.76,46.37
14.4,217.0,2.77,200.84,75.18,49.33
15.33,216.0,4.43,193.84,72.86,49.33
16.27,210.0,4.47,188.07,70.73,47.29
17.11,208.0,4.35,182.56,68.97,45.04
