radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.16,1.99,1.5,3.75,0.0,1.86
0.41,4.84,1.5,9.47,0.0,4.24
0.57,6.79,1.5,11.76,0.0,5.61
0.73,8.87,1.5,13.72,0.0,6.77
0.9,10.9,1.5,14.8,0.0,7.77
1.06,12.9,1.5,15.24,0.0,8.44
1.22,14.7,1.5,15.11,0.0,8.64
1.47,16.8,1.5,15.9,0.0,8.08
1.79,20.1,1.5,14.91,0.0,6.91
