radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.08,1.41,4.0,1.5,0.0,-5.85
0.23,4.46,4.0,3.55,0.0,-5.85
0.38,7.71,4.0,5.31,0.0,-0.98
0.54,11.0,4.0,8.22,0.0,-2.22
0.69,14.2,4.0,10.22,0.0,-3.47
0.84,17.2,5.78,12.07,0.0,-4.43
1.0,20.2,4.74,13.91,0.0,-5.15
1.15,23.2,4.0,15.41,0.0,-5.85
1.3,26.4,7.13,16.74,0.0,-1.76
1.46,29.3,4.38,17.86,0.0,2.33
1.61,31.6,4.94,18.77,0.0,5.46
1.76,34.6,4.0,19.16,0.0,7.63
1.92,37.4,7.09,19.52,0.0,9.79
2.07,39.9,4.0,19.66,0.0,11.26
2.22,42.2,4.37,19.81,0.0,12.73
2.38,44.4,4.58,19.88,0.0,13.9
2.53,46.7,5.91,20.02,0.0,14.68
2.68,48.5,7.72,19.97,0.0,15.47
2.76,49.3,9.73,19.92,0.0,15.76
3.07,53.0,4.0,19.61,0.0,16.84
3.46,54.1,4.0,19.28,0.0,18.3
3.83,55.0,4.0,18.95,0.0,18.5
4.23,55.7,4.0,18.54,0.0,18.21
4.62,56.4,4.0,18.33,0.0,19.58
4.99,56.9,4.0,18.23,0.0,20.46
