radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.37,183.0,47.6,11.2,123.59,-2.62
0.74,196.0,40.7,21.14,191.42,-3.79
1.11,205.0,14.1,30.05,218.87,-4.87
1.48,211.0,7.89,38.06,240.05,-5.72
1.84,214.0,1.48,45.23,258.74,-6.31
2.21,214.0,1.5,51.92,273.65,-6.65
2.6,213.0,2.64,58.41,280.2,-6.69
2.96,211.0,4.5,63.99,275.3,-6.41
3.17,210.0,8.68,66.97,274.94,-6.08
3.33,209.0,3.0,69.15,273.2,-5.72
3.7,207.0,1.6,74.09,268.56,-4.34
4.07,206.0,1.73,78.64,262.81,0.84
4.44,205.0,3.45,83.02,255.92,5.14
4.81,205.0,2.77,87.31,248.41,7.67
5.18,206.0,7.48,90.63,241.01,9.9
5.55,207.0,5.02,91.17,233.88,12.08
5.92,208.0,7.7,91.98,227.13,14.21
6.28,210.0,1.95,93.75,220.9,16.44
6.34,210.0,4.78,94.14,219.93,16.75
6.65,212.0,1.96,96.53,214.9,18.67
7.03,214.0,0.76,99.17,209.22,20.8
7.39,215.0,2.22,101.39,204.19,22.73
7.77,216.0,1.76,103.08,199.24,24.56
8.14,217.0,1.53,105.18,194.76,26.28
8.51,218.0,7.7,106.86,190.42,27.91
8.88,218.0,6.86,108.2,186.31,29.33
9.25,218.0,8.37,109.65,182.7,30.55
9.52,218.0,3.93,110.49,180.08,31.16
9.62,218.0,4.05,110.78,179.14,31.36
9.99,217.0,20.2,111.77,175.79,32.17
10.4,217.0,4.2,112.69,172.23,33.08
10.71,216.0,3.16,113.45,169.76,34.0
11.12,215.0,6.72,114.16,166.6,35.01
12.67,212.0,1.82,115.88,156.1,39.99
12.98,211.0,16.6,116.15,154.24,41.0
15.86,209.0,8.38,115.82,139.51,52.47
19.05,215.0,13.2,112.66,127.33,66.17
22.14,215.0,13.9,108.18,118.11,76.32
25.34,210.0,10.6,102.95,110.4,79.67
28.53,196.0,12.8,97.69,104.04,78.35
31.72,185.0,11.5,92.71,98.67,74.49
34.91,182.0,10.8,88.3,94.06,72.76
38.0,181.0,10.3,85.07,90.15,70.63
