radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
1.25,47.0,7.6,56.98,0.0,2.05
2.08,59.5,4.5,64.63,0.0,6.07
2.9,71.6,3.7,74.91,0.0,10.81
3.73,77.6,3.1,77.71,0.0,14.74
4.56,83.4,3.6,79.57,0.0,17.0
5.39,89.7,3.8,79.39,0.0,19.26
6.22,93.8,2.4,73.38,0.0,21.62
7.04,99.0,3.0,69.52,0.0,23.59
7.87,103.0,2.5,65.95,0.0,27.03
8.7,100.0,2.3,62.8,0.0,28.5
9.54,98.3,2.0,59.81,0.0,29.19
10.34,98.4,1.7,56.87,0.0,29.29
11.21,94.5,1.8,54.18,0.0,30.27
11.98,94.9,2.4,52.09,0.0,31.35
12.85,95.3,1.6,49.97,0.0,32.24
13.72,96.9,1.8,48.07,0.0,32.83
14.49,97.2,1.3,46.57,0.0,33.03
15.36,100.0,1.8,45.03,0.0,33.12
16.13,104.0,2.7,43.81,0.0,32.83
17.0,104.0,3.2,42.53,0.0,33.52
17.78,105.0,3.4,41.49,0.0,32.34
18.65,109.0,3.9,40.42,0.0,31.65
19.52,110.0,3.8,39.42,0.0,29.88
20.29,107.0,3.8,38.61,0.0,29.39
21.16,106.0,3.8,37.75,0.0,29.0
21.93,106.0,4.0,37.04,0.0,27.91
22.8,108.0,3.4,36.29,0.0,27.03
23.67,109.0,3.2,35.58,0.0,25.65
24.44,110.0,3.3,34.99,0.0,26.24
25.31,110.0,2.7,34.35,0.0,25.85
26.08,110.0,2.4,33.82,0.0,25.26
26.95,113.0,2.5,33.25,0.0,26.83
27.73,114.0,2.2,32.76,0.0,30.76
28.6,112.0,1.7,32.24,0.0,31.75
29.47,113.0,1.8,31.75,0.0,34.6
30.24,115.0,1.6,31.33,0.0,37.45
