radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.35,14.4,2.82,15.45,0.0,-0.61
0.69,24.4,3.97,17.95,0.0,-1.22
1.03,29.2,3.26,20.19,0.0,-2.04
1.38,32.9,3.73,21.43,0.0,-1.72
1.72,37.8,3.41,22.82,0.0,3.47
2.07,42.0,3.12,25.15,0.0,3.53
2.41,45.1,2.92,26.82,0.0,4.13
2.76,47.6,2.79,28.98,0.0,6.88
3.1,52.3,2.78,30.06,0.0,9.39
3.45,57.3,2.78,30.89,0.0,11.99
3.79,61.4,2.93,31.14,0.0,14.78
4.14,64.5,3.42,32.08,0.0,16.87
4.48,66.4,4.53,32.77,0.0,18.27
4.82,66.9,5.46,33.02,0.0,19.32
5.17,69.4,4.77,33.86,0.0,19.78
5.51,70.2,4.44,34.37,0.0,19.55
5.86,70.9,4.24,34.15,0.0,19.78
6.2,72.3,4.38,34.36,0.0,20.48
6.55,73.9,3.51,34.78,0.0,21.53
6.89,75.0,3.22,35.14,0.0,22.81
7.25,75.5,3.23,35.58,0.0,24.09
7.58,77.1,2.98,36.1,0.0,25.37
7.94,77.0,2.79,36.68,0.0,26.77
8.27,77.0,2.82,37.11,0.0,28.28
8.63,78.2,2.93,37.49,0.0,29.91
8.97,79.6,3.14,37.76,0.0,31.07
9.3,80.3,3.39,37.98,0.0,32.12
9.66,81.2,3.66,38.12,0.0,33.05
9.99,82.3,3.9,38.33,0.0,33.75
10.35,83.8,4.1,38.96,0.0,34.21
10.69,79.0,2.78,38.32,0.0,34.56
