radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.16,160.0,36.0,8.07,119.49,-1.22
0.32,177.0,30.9,15.74,184.15,-1.2
0.49,180.0,25.3,23.42,201.67,-1.08
0.65,180.0,32.0,30.3,207.64,-0.96
1.3,182.0,4.72,55.43,203.18,-0.33
1.46,183.0,10.8,61.06,200.04,0.44
1.62,184.0,7.43,66.51,196.81,0.74
3.72,206.0,8.42,126.3,147.67,4.94
3.89,207.0,4.54,130.52,144.55,5.38
4.05,209.0,5.36,134.47,141.56,5.86
4.22,210.0,2.43,138.94,138.76,6.37
4.26,210.0,4.6,140.05,138.12,6.53
4.38,211.0,2.8,143.43,136.21,6.92
4.54,213.0,2.18,148.24,133.79,7.46
4.71,214.0,7.61,153.86,131.35,7.98
4.86,215.0,4.7,158.53,129.31,8.49
5.02,215.0,2.34,162.82,127.24,9.0
5.18,216.0,2.95,166.08,125.27,9.51
5.35,217.0,4.48,168.84,123.26,10.02
5.51,217.0,3.99,170.67,121.46,10.53
5.68,218.0,5.14,171.8,119.61,11.06
5.84,218.0,2.51,172.47,117.97,11.59
6.0,219.0,3.95,172.94,116.4,12.13
6.15,219.0,7.84,173.44,114.95,12.55
6.48,219.0,7.74,174.41,111.99,13.72
6.64,219.0,6.69,174.58,110.63,14.25
6.81,220.0,6.26,174.53,109.24,14.68
7.1,220.0,2.52,174.07,106.99,15.64
7.13,220.0,11.4,173.95,106.76,15.74
8.52,220.0,2.93,162.17,97.67,20.1
10.66,225.0,1.79,149.89,87.32,25.95
11.99,228.0,5.71,144.35,82.33,28.72
12.1,228.0,9.96,143.9,81.96,29.04
12.33,228.0,8.24,143.03,81.19,29.36
12.78,229.0,1.74,141.37,79.75,30.21
14.93,228.0,1.64,133.3,73.78,33.5
17.08,226.0,1.34,125.19,68.98,35.21
19.23,226.0,1.39,117.76,65.01,35.84
21.27,227.0,1.11,111.0,61.81,35.52
23.42,227.0,1.37,106.04,58.91,34.46
25.57,224.0,2.79,101.01,56.38,32.87
27.72,218.0,9.41,96.03,54.15,31.59
29.87,215.0,8.18,91.96,52.16,30.53
32.02,219.0,5.06,88.37,50.38,29.67
34.05,211.0,7.05,85.42,48.86,29.04
