radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.63,29.5,2.53,32.45,0.0,-2.22
1.26,50.8,3.76,43.44,0.0,-8.54
1.88,68.2,2.58,53.72,0.0,-2.13
2.51,84.3,2.28,65.57,0.0,8.88
3.13,95.3,2.01,69.99,0.0,11.55
3.77,106.0,3.58,70.54,0.0,16.04
4.39,112.0,4.25,71.78,0.0,20.82
5.02,115.0,3.18,71.41,0.0,24.3
5.65,116.0,2.32,67.79,0.0,25.4
6.28,116.0,2.01,64.52,0.0,24.6
6.9,116.0,2.28,61.11,0.0,25.5
7.54,114.0,3.05,56.38,0.0,25.7
8.16,112.0,3.69,53.17,0.0,24.6
8.79,109.0,5.1,50.65,0.0,24.9
9.41,107.0,6.39,48.55,0.0,27.79
