radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.12,4.2,3.15,3.95,0.0,-0.46
0.36,9.41,1.83,11.2,0.0,-0.53
0.59,15.3,1.37,15.88,0.0,1.73
0.83,18.4,1.64,19.68,0.0,4.19
1.07,23.4,2.08,22.21,0.0,6.57
1.31,28.1,2.46,23.33,0.0,9.69
1.54,33.1,2.01,22.77,0.0,12.94
1.79,37.5,1.62,22.48,0.0,15.67
2.02,40.5,1.68,22.28,0.0,17.89
2.26,42.3,1.69,22.0,0.0,19.31
2.49,45.2,1.91,21.29,0.0,20.12
2.74,47.4,1.95,20.52,0.0,21.03
2.97,48.1,1.74,19.83,0.0,22.14
3.21,48.8,1.08,19.12,0.0,23.15
3.44,50.7,1.55,18.46,0.0,23.96
3.69,52.1,2.78,17.79,0.0,24.56
3.92,53.0,2.98,17.2,0.0,25.07
4.16,53.7,2.39,16.63,0.0,25.27
4.4,51.2,2.21,16.1,0.0,25.47
4.64,51.6,1.45,15.61,0.0,25.68
4.87,51.5,1.84,15.18,0.0,26.18
5.11,50.4,2.53,14.76,0.0,26.59
5.35,48.5,4.6,14.37,0.0,26.69
5.59,50.0,5.91,14.01,0.0,26.59
5.82,49.0,7.42,13.7,0.0,26.28
6.06,49.4,5.92,13.37,0.0,26.18
