radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
5.49,198.0,10.0,186.83,108.11,0.0
6.17,195.0,5.0,197.4,102.7,10.14
6.92,194.0,4.0,203.18,97.43,19.07
7.69,195.0,3.0,205.95,92.74,24.03
8.36,195.0,3.0,205.73,88.92,26.62
9.12,195.0,3.0,202.75,85.21,28.67
9.88,192.0,7.0,195.44,81.9,29.74
10.56,188.0,8.0,185.44,79.23,29.63
11.31,186.0,7.0,175.66,76.58,29.42
12.08,186.0,6.0,166.96,74.1,29.85
12.77,186.0,5.0,160.29,72.07,30.5
13.47,185.0,6.0,154.56,70.18,31.57
14.17,180.0,10.0,149.44,68.41,32.44
14.98,163.0,8.0,144.15,66.54,32.98
15.68,162.0,6.0,140.03,65.04,32.44
16.37,164.0,5.0,136.17,63.66,31.79
17.19,166.0,5.0,132.07,62.12,30.82
17.88,166.0,5.0,128.95,60.91,29.63
18.58,166.0,5.0,126.05,59.75,28.56
19.39,166.0,5.0,122.95,58.49,27.91
20.09,168.0,5.0,120.47,57.46,27.26
20.79,172.0,5.0,118.15,56.49,26.4
21.48,173.0,5.0,116.0,55.57,25.97
22.3,171.0,5.0,113.61,54.54,26.08
22.99,170.0,5.0,111.72,53.72,26.4
23.69,172.0,5.0,109.89,52.92,27.16
24.39,173.0,5.0,108.16,52.15,28.88
25.2,176.0,5.0,106.26,51.31,30.17
25.9,178.0,5.0,104.71,50.61,29.96
26.59,180.0,6.0,103.24,49.95,29.63
27.41,180.0,8.0,101.58,49.19,29.1
28.1,180.0,5.0,100.24,48.59,28.45
28.8,180.0,5.0,98.94,47.99,28.02
29.61,178.0,5.0,97.5,47.33,27.59
30.31,174.0,5.0,96.31,46.78,27.59
31.01,170.0,10.0,95.16,46.25,26.19
