radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.16,24.5,2.83,23.21,0.0,0.0
0.26,35.3,2.46,35.33,0.0,0.0
0.36,43.2,1.12,46.97,0.0,1.92
0.46,52.0,1.25,56.68,0.0,2.29
0.56,60.9,2.93,63.77,0.0,2.64
0.66,65.8,1.25,67.56,0.0,3.0
0.76,71.7,1.25,70.83,0.0,3.34
0.86,74.6,1.6,72.8,0.0,3.68
0.96,74.6,1.03,74.87,0.0,4.02
1.06,76.6,1.12,77.12,0.0,4.37
1.16,78.5,1.6,79.47,0.0,4.75
1.27,83.4,1.8,82.18,0.0,5.15
1.36,86.4,1.6,85.19,0.0,5.51
1.47,87.4,1.41,87.94,0.0,5.76
1.57,90.3,1.41,90.77,0.0,5.98
1.67,93.3,1.6,93.98,0.0,6.21
1.77,93.3,1.41,96.86,0.0,6.42
1.87,95.2,1.25,99.21,0.0,6.61
1.97,97.2,1.6,101.42,0.0,6.81
2.08,99.1,2.02,103.79,0.0,7.01
2.18,98.2,2.02,106.07,0.0,7.27
2.28,98.2,1.6,106.73,0.0,7.54
2.37,98.2,1.0,106.19,0.0,7.81
2.47,97.2,1.12,105.57,0.0,8.25
2.57,98.2,1.41,105.08,0.0,8.77
2.68,98.2,1.12,104.39,0.0,9.31
2.78,98.2,1.6,103.8,0.0,9.95
2.88,99.1,2.69,103.16,0.0,10.97
2.98,100.0,2.69,102.68,0.0,11.96
3.08,102.0,3.16,102.46,0.0,13.06
3.19,101.0,3.4,102.29,0.0,14.06
3.29,101.0,3.4,102.51,0.0,15.05
3.39,103.0,2.93,102.82,0.0,16.15
3.49,107.0,2.46,103.06,0.0,17.15
3.59,110.0,2.46,102.95,0.0,18.14
3.69,112.0,3.4,103.12,0.0,19.24
3.79,114.0,5.1,102.93,0.0,20.24
3.9,118.0,5.1,102.5,0.0,21.03
3.99,118.0,4.85,101.99,0.0,21.83
4.47,118.0,5.36,99.49,0.0,25.72
4.97,121.0,2.57,97.06,0.0,27.81
5.47,124.0,0.22,94.4,0.0,29.41
5.96,125.0,0.88,91.13,0.0,30.7
6.46,126.0,0.45,87.9,0.0,31.7
6.96,126.0,0.55,84.95,0.0,33.29
7.45,126.0,0.45,81.98,0.0,34.99
7.95,126.0,0.24,79.11,0.0,36.58
8.45,127.0,1.45,76.42,0.0,38.38
8.94,128.0,1.12,74.09,0.0,39.97
9.44,128.0,1.68,71.75,0.0,41.47
9.94,127.0,2.56,69.58,0.0,42.57
10.43,127.0,1.24,67.61,0.0,43.96
10.93,128.0,0.21,65.75,0.0,45.06
11.43,130.0,1.13,64.12,0.0,45.76
11.92,130.0,2.23,62.55,0.0,46.15
12.42,132.0,2.68,61.06,0.0,46.65
12.92,133.0,2.68,59.67,0.0,46.95
13.42,133.0,3.37,58.37,0.0,46.75
13.91,133.0,3.81,57.26,0.0,46.25
14.41,133.0,2.56,56.12,0.0,45.95
14.91,134.0,0.56,55.05,0.0,45.66
15.4,134.0,0.79,54.06,0.0,45.26
15.9,133.0,0.67,53.11,0.0,44.76
16.4,134.0,2.35,52.26,0.0,44.16
16.89,134.0,4.13,51.43,0.0,43.36
17.39,136.0,3.91,50.61,0.0,42.67
17.89,136.0,6.38,49.84,0.0,41.87
18.38,135.0,8.39,49.16,0.0,41.07
18.88,133.0,7.83,48.46,0.0,40.27
19.38,134.0,6.26,47.78,0.0,39.87
19.87,136.0,5.6,47.15,0.0,39.87
20.37,135.0,5.24,46.52,0.0,39.87
20.87,134.0,3.12,45.97,0.0,39.87
