radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.11,56.2,28.5,10.27,44.15,-1.03
0.23,64.6,22.7,20.21,75.69,-1.23
0.34,70.2,17.2,28.3,90.09,-1.32
0.46,71.6,11.7,36.17,97.29,-1.38
0.57,71.0,11.3,42.64,98.4,-1.41
0.69,69.0,9.37,48.95,99.3,-1.36
0.8,67.7,6.23,54.16,100.36,-1.23
0.92,66.9,4.0,59.24,100.84,-0.91
1.03,66.6,3.1,63.4,101.52,0.49
1.14,66.8,3.02,67.15,100.91,1.27
1.26,67.4,3.09,70.78,99.65,1.89
1.37,68.3,2.71,73.73,97.83,2.47
1.49,69.6,2.75,76.63,95.14,2.98
1.61,71.2,2.61,79.45,92.26,3.52
1.71,72.9,4.09,81.6,89.85,4.06
1.83,74.9,6.17,83.69,87.09,4.62
1.94,77.0,7.74,85.04,84.69,5.19
2.06,79.2,5.36,86.25,82.25,5.77
2.18,81.4,6.34,87.49,79.96,6.34
2.29,83.6,2.03,88.91,78.04,6.95
2.4,85.7,1.94,90.4,76.26,7.56
2.52,87.8,1.7,91.9,74.41,8.2
2.63,89.7,2.16,92.95,72.86,8.89
2.75,91.4,1.88,93.65,71.23,9.58
2.86,92.8,3.36,93.97,69.85,10.31
2.98,94.1,1.4,94.1,68.43,11.11
3.09,95.2,5.51,93.98,67.21,11.94
3.2,96.1,6.23,93.74,66.06,12.77
4.52,97.4,2.3,88.08,55.57,19.31
4.69,96.9,11.7,87.36,54.55,19.73
6.03,96.8,2.3,81.5,48.11,22.95
7.53,105.0,1.02,76.78,43.05,26.37
8.58,110.0,7.12,73.0,40.33,28.87
8.7,110.0,5.26,72.69,40.05,29.07
8.82,110.0,5.16,72.31,39.78,29.38
9.03,111.0,0.82,71.64,39.31,29.9
9.05,111.0,7.81,71.58,39.27,29.9
10.53,112.0,1.43,67.3,36.41,33.33
12.07,112.0,1.21,63.57,34.0,36.03
13.58,114.0,1.35,59.74,32.06,37.9
15.09,118.0,1.36,56.25,30.41,39.04
16.6,122.0,1.44,53.26,29.0,39.66
18.11,125.0,1.64,50.67,27.76,40.08
19.62,128.0,1.97,48.42,26.67,40.18
21.02,131.0,1.81,46.57,25.77,39.87
24.04,127.0,1.93,43.23,24.09,37.17
27.06,124.0,1.92,40.56,22.71,34.89
