radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
1.23,28.7,3.4,27.5,0.0,13.65
1.84,37.6,2.6,32.63,0.0,18.65
2.46,43.1,1.2,36.38,0.0,21.85
3.07,50.1,2.8,38.7,0.0,25.04
3.68,58.1,4.5,39.68,0.0,28.73
4.3,64.6,4.1,39.98,0.0,32.28
4.91,68.5,2.7,39.99,0.0,34.59
5.52,72.3,0.8,39.87,0.0,36.37
6.14,74.2,2.4,39.71,0.0,37.73
6.75,78.9,2.6,39.75,0.0,38.68
7.37,82.4,2.3,40.35,0.0,39.3
7.98,84.3,4.8,41.04,0.0,39.72
8.59,85.4,7.3,41.57,0.0,40.39
9.21,85.3,4.6,42.03,0.0,40.44
9.82,86.8,4.0,42.44,0.0,39.94
10.43,85.4,5.7,42.87,0.0,39.15
11.05,85.4,7.0,43.32,0.0,37.71
11.66,86.2,4.1,43.95,0.0,36.23
12.28,86.1,6.2,44.71,0.0,35.41
12.89,87.4,2.5,45.88,0.0,34.67
13.5,86.5,5.5,48.0,0.0,33.61
