radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
3.44,285.0,14.4,163.4,239.5,-0.57
3.77,297.0,13.6,171.13,229.25,-0.57
4.13,303.0,8.47,180.88,219.24,-0.43
4.47,306.0,5.93,188.37,210.91,-0.1
4.8,307.0,5.93,194.64,203.54,-0.19
5.13,304.0,8.47,200.57,196.88,-0.28
5.48,308.0,8.47,206.64,190.44,-0.38
5.83,313.0,12.7,211.29,184.57,-0.48
6.16,314.0,9.32,215.14,179.57,-0.53
6.51,315.0,6.78,221.84,174.68,3.83
6.86,317.0,8.47,227.72,170.15,8.02
7.18,320.0,7.63,231.73,166.32,12.15
7.51,316.0,20.5,235.48,162.63,16.24
7.85,318.0,23.4,239.96,159.08,20.27
8.21,321.0,8.48,243.42,155.54,24.66
8.57,323.0,8.66,245.15,152.23,27.1
8.9,321.0,12.7,245.8,149.38,29.42
9.24,323.0,11.0,245.24,146.61,31.74
9.6,323.0,10.4,244.14,143.83,34.31
9.93,322.0,13.6,243.64,141.42,36.63
10.27,321.0,13.6,243.6,139.06,38.95
10.6,323.0,9.32,243.38,136.88,41.02
10.93,322.0,11.9,243.08,134.8,43.22
11.27,321.0,11.0,242.44,132.75,45.42
12.31,323.0,4.24,237.3,127.02,52.25
14.35,319.0,4.24,222.06,117.64,56.77
16.4,308.0,4.24,207.98,110.04,51.89
18.48,299.0,5.66,196.87,103.67,48.35
20.57,299.0,5.66,185.72,98.26,54.45
22.51,298.0,5.66,176.98,93.93,63.61
24.59,296.0,5.66,168.93,89.87,66.17
26.68,293.0,4.24,161.21,86.28,61.9
28.77,289.0,4.24,153.59,83.08,58.85
30.7,289.0,4.24,147.56,80.43,57.01
32.79,288.0,4.24,141.95,77.82,57.38
34.88,285.0,4.24,136.82,75.46,60.43
36.96,283.0,2.83,132.38,73.3,64.09
38.9,275.0,2.83,128.66,71.45,66.9
40.99,272.0,2.83,124.87,69.61,68.61
43.08,271.0,2.83,121.52,67.9,68.98
45.16,274.0,4.24,118.47,66.31,67.76
47.1,277.0,4.24,115.75,64.93,65.19
49.19,281.0,4.24,113.11,63.54,62.26
51.27,286.0,4.24,110.59,62.24,60.55
53.36,282.0,4.24,108.3,61.01,60.55
55.3,283.0,4.24,106.31,59.93,62.39
57.38,288.0,5.66,104.23,58.83,64.95
59.47,287.0,5.66,102.32,57.79,67.27
61.56,289.0,7.07,100.51,56.8,68.49
63.64,294.0,7.07,98.76,55.86,68.73
