radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.85,10.3,0.2,9.59,0.0,0.0
1.14,12.9,2.7,11.99,0.0,0.0
1.42,16.4,1.8,13.83,0.0,0.94
1.71,18.6,2.1,15.27,0.0,3.44
1.99,19.8,2.0,16.76,0.0,5.14
2.28,26.1,0.6,17.77,0.0,5.82
2.55,27.7,2.7,18.7,0.0,6.87
2.84,29.7,2.6,19.36,0.0,7.58
3.13,33.0,3.4,19.89,0.0,8.21
3.41,34.8,1.2,20.19,0.0,8.78
3.7,35.0,0.9,20.15,0.0,8.64
3.98,39.0,10.2,20.39,0.0,7.98
4.26,35.9,5.4,21.28,0.0,7.97
4.55,40.0,4.1,22.72,0.0,10.01
4.84,38.7,1.4,24.6,0.0,11.42
5.12,41.8,0.5,25.34,0.0,12.67
5.41,42.9,0.4,25.74,0.0,13.13
5.68,44.4,1.7,26.48,0.0,13.93
5.97,46.1,1.3,27.15,0.0,14.5
6.26,49.0,0.9,27.39,0.0,15.98
6.54,51.9,0.6,27.31,0.0,17.58
6.83,53.1,2.1,26.75,0.0,18.38
7.1,54.0,0.5,26.25,0.0,19.29
7.39,55.9,1.1,26.04,0.0,19.86
7.68,58.8,3.6,25.86,0.0,21.01
7.96,57.3,4.6,25.77,0.0,21.81
8.25,54.0,9.0,25.57,0.0,22.49
8.52,63.8,12.0,25.47,0.0,22.38
8.81,60.5,6.2,25.41,0.0,22.6
9.1,61.0,5.7,25.38,0.0,22.95
9.38,66.0,1.3,25.51,0.0,23.63
9.67,65.2,3.4,25.74,0.0,24.89
9.96,67.1,4.7,24.84,0.0,25.8
10.23,67.5,9.3,23.97,0.0,27.17
