radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.96,34.2,3.32,20.68,0.0,1.81
1.92,49.5,4.6,30.32,0.0,-7.24
2.88,59.9,4.38,33.18,0.0,-2.56
3.84,65.3,4.31,35.24,0.0,8.12
4.8,69.8,3.83,34.72,0.0,11.3
5.76,73.8,3.45,34.11,0.0,16.0
6.72,76.2,3.24,34.88,0.0,18.2
7.68,79.3,3.19,33.08,0.0,19.2
8.64,80.3,3.31,31.11,0.0,23.3
9.6,81.9,3.69,29.68,0.0,25.5
10.6,84.0,3.89,28.19,0.0,27.8
11.5,85.6,3.67,26.95,0.0,31.1
12.5,87.9,3.43,25.7,0.0,35.1
13.4,90.8,3.36,24.69,0.0,38.3
14.4,95.5,3.18,23.69,0.0,41.4
15.4,98.0,3.18,22.77,0.0,43.4
