radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
1.07,22.1,7.17,18.3,0.0,1.98
1.78,42.7,10.66,24.51,0.0,4.03
2.49,60.6,7.69,27.45,0.0,6.25
2.97,76.8,11.1,28.28,0.0,7.78
3.04,81.6,17.5,28.2,0.0,8.01
3.19,87.0,8.93,28.16,0.0,8.49
6.95,90.0,24.8,29.57,0.0,17.83
8.58,97.8,9.4,29.09,0.0,22.83
9.26,93.7,25.3,28.73,0.0,24.91
9.89,103.0,23.8,28.7,0.0,26.69
10.08,97.4,11.0,28.73,0.0,27.31
11.84,106.5,9.48,27.77,0.0,30.86
14.56,112.0,11.0,25.73,0.0,30.44
15.43,111.5,9.4,25.11,0.0,30.7
17.93,111.0,24.3,23.48,0.0,33.36
19.02,112.5,7.75,22.95,0.0,34.35
20.1,106.0,10.7,22.07,0.0,35.34
