radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.23,6.81,8.19,9.67,0.0,-0.86
0.69,20.0,4.09,23.77,0.0,-1.93
1.15,33.0,4.0,34.7,0.0,-3.62
1.59,42.7,4.0,41.73,0.0,-4.31
2.05,49.9,4.0,46.7,0.0,-3.92
2.51,55.5,4.0,50.33,0.0,3.21
2.97,61.9,4.0,53.12,0.0,7.43
3.42,67.9,4.0,55.1,0.0,10.05
3.88,73.1,4.0,55.08,0.0,11.97
4.34,76.1,3.0,54.16,0.0,13.61
4.79,77.8,5.34,53.32,0.0,14.82
5.24,79.0,4.0,52.48,0.0,15.7
5.7,78.5,5.6,50.92,0.0,16.36
6.16,79.8,7.15,49.36,0.0,16.58
7.16,83.4,5.12,46.44,0.0,17.02
7.52,84.6,4.0,45.44,0.0,17.46
7.98,86.1,5.53,44.24,0.0,18.01
8.44,87.5,10.2,43.11,0.0,18.77
8.9,89.0,7.77,41.91,0.0,19.76
9.35,90.4,5.16,40.72,0.0,20.86
9.62,91.2,13.7,40.12,0.0,21.63
