radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.33,20.5,4.17,10.8,0.0,5.04
0.99,19.9,1.82,19.85,0.0,10.8
1.65,19.3,1.69,20.13,0.0,12.3
2.31,18.8,1.9,18.24,0.0,12.7
2.97,18.2,1.74,16.21,0.0,13.3
3.63,18.3,2.22,14.5,0.0,14.2
