radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
1.7,305.0,10.0,92.31,265.84,0.0
3.41,257.0,10.0,152.76,236.42,0.0
6.82,256.0,10.0,220.93,175.44,0.0
13.67,271.0,10.0,244.9,123.9,0.0
19.49,282.0,10.0,240.52,103.77,0.0
23.36,287.0,10.0,238.85,94.78,28.79
27.24,283.0,10.0,232.97,87.77,40.2
31.22,280.0,10.0,223.71,81.99,45.05
35.1,280.0,10.0,214.74,77.32,50.3
38.97,281.0,10.0,206.96,73.38,59.7
42.85,282.0,10.0,198.69,69.98,67.17
46.73,287.0,10.0,189.07,67.02,65.05
50.71,292.0,10.0,184.25,64.33,71.21
54.58,298.0,10.0,180.41,62.01,79.19
58.46,298.0,10.0,174.83,59.92,83.33
62.34,298.0,10.0,168.07,58.02,83.33
66.21,298.0,10.0,162.78,56.3,82.83
70.19,298.0,10.0,158.17,54.68,85.86
74.07,298.0,10.0,152.97,53.23,86.26
