radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.26,6.1,1.6,2.78,0.0,1.0
0.52,11.2,0.7,4.73,0.0,2.12
0.77,14.9,1.5,7.0,0.0,4.53
1.03,19.1,2.2,8.59,0.0,6.54
1.29,24.3,0.9,10.63,0.0,8.22
1.55,29.8,1.9,11.72,0.0,10.06
1.81,34.3,1.6,12.56,0.0,11.73
2.06,38.2,3.5,13.39,0.0,12.92
2.32,42.5,5.6,13.69,0.0,13.76
2.58,42.3,3.0,13.73,0.0,14.44
2.84,47.3,4.4,13.74,0.0,15.04
3.1,49.3,4.0,14.32,0.0,15.37
3.35,50.6,3.5,15.08,0.0,15.75
3.61,53.0,3.5,15.34,0.0,16.29
3.87,54.7,3.3,14.77,0.0,16.37
4.13,55.2,3.1,14.16,0.0,16.42
4.38,57.5,2.6,13.87,0.0,16.88
4.64,59.1,2.4,13.96,0.0,17.22
4.9,61.2,1.9,14.01,0.0,17.66
5.16,62.7,1.9,14.01,0.0,18.09
5.42,64.4,2.9,13.96,0.0,18.73
5.67,66.6,3.2,13.99,0.0,19.3
5.93,66.3,3.4,13.93,0.0,19.36
6.19,66.2,3.2,13.15,0.0,19.43
6.45,67.3,3.0,12.62,0.0,19.41
