radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.25,3.17,3.22,6.45,0.0,-1.04
0.5,10.5,3.32,13.17,0.0,-3.35
0.75,17.5,4.47,18.27,0.0,4.05
1.0,22.7,4.96,24.79,0.0,4.85
1.26,29.7,5.29,29.98,0.0,6.16
1.5,34.5,4.7,30.56,0.0,7.83
1.76,36.0,3.51,30.97,0.0,8.37
2.01,37.3,3.45,29.96,0.0,8.4
2.26,35.6,3.57,30.04,0.0,10.27
2.51,34.9,3.88,31.48,0.0,11.89
2.76,32.7,3.27,33.07,0.0,15.11
3.01,32.8,3.21,34.11,0.0,17.63
3.27,33.2,3.21,33.92,0.0,19.74
3.51,32.1,3.23,33.27,0.0,22.06
3.76,30.1,3.16,32.39,0.0,23.37
4.02,32.3,3.16,31.18,0.0,24.68
4.26,33.6,3.12,30.16,0.0,25.38
4.52,35.1,3.12,29.51,0.0,25.99
4.77,35.3,3.12,29.25,0.0,26.59
5.02,35.2,3.13,29.1,0.0,26.9
5.27,34.6,3.11,28.04,0.0,27.2
5.52,33.0,3.11,26.8,0.0,27.3
