radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.28,168.0,49.7,42.14,211.56,0.42
0.37,187.0,40.2,53.98,220.85,0.61
0.47,204.0,26.9,66.33,227.4,0.79
0.56,218.0,23.5,76.79,231.5,0.96
0.65,232.0,8.63,86.68,234.01,1.14
0.75,243.0,4.97,97.06,236.69,1.31
0.84,253.0,3.65,105.9,240.47,1.48
0.93,262.0,2.86,114.28,245.03,1.66
1.03,269.0,3.8,123.11,249.19,1.83
1.12,275.0,5.39,130.64,251.82,2.0
1.21,280.0,5.01,137.79,253.43,2.17
1.3,284.0,10.0,144.6,253.93,2.33
1.41,287.0,6.59,152.47,253.45,2.5
1.5,289.0,3.56,158.56,252.44,2.66
1.59,290.0,6.13,164.36,251.04,2.82
1.68,291.0,10.2,169.88,249.18,2.97
1.78,292.0,8.61,175.7,246.75,3.12
1.87,292.0,11.2,180.66,244.32,3.26
1.96,291.0,5.15,185.38,241.92,3.39
2.05,291.0,4.92,189.88,239.71,3.5
2.16,291.0,9.32,195.08,237.06,3.61
2.25,290.0,7.19,199.1,234.93,3.7
2.34,290.0,12.2,202.92,232.89,3.76
2.43,290.0,7.94,206.55,231.12,3.79
2.46,290.0,5.16,207.71,230.63,3.79
2.53,290.0,3.56,210.36,229.44,3.79
2.62,290.0,3.79,213.61,227.9,3.8
2.71,290.0,5.65,216.71,226.55,3.81
2.8,290.0,9.38,219.64,225.09,3.84
2.99,290.0,10.6,225.37,221.46,3.94
3.28,291.0,15.3,233.01,215.11,4.12
3.74,292.0,18.8,241.64,204.42,4.56
3.83,292.0,15.2,242.91,202.36,4.69
4.02,292.0,19.8,245.41,198.15,5.12
4.09,292.0,2.4,246.19,196.62,5.35
4.12,292.0,9.0,246.51,195.97,5.4
4.3,291.0,8.71,248.01,192.16,6.12
4.39,291.0,7.92,248.54,190.25,6.56
4.49,291.0,8.84,249.06,188.24,7.04
4.58,290.0,4.2,249.41,186.48,7.58
4.87,289.0,10.6,250.14,181.04,9.59
4.91,288.0,2.26,250.19,180.31,10.06
4.96,288.0,6.97,250.25,179.41,10.42
5.05,287.0,3.23,250.32,177.88,11.18
5.14,287.0,10.2,250.34,176.33,12.03
5.24,286.0,10.3,250.33,174.68,12.78
5.33,286.0,17.8,250.26,173.23,13.42
5.42,285.0,11.4,250.17,171.83,14.16
5.51,285.0,12.0,250.09,170.39,14.91
5.61,284.0,4.03,250.01,168.9,15.66
5.71,284.0,4.73,249.99,167.49,16.4
5.8,283.0,6.44,249.96,166.22,17.15
5.89,283.0,4.96,249.9,164.93,17.89
5.98,283.0,5.37,249.84,163.71,18.64
6.08,283.0,11.0,249.76,162.34,19.38
6.15,283.0,1.14,249.7,161.44,20.02
6.17,283.0,17.3,249.69,161.19,20.24
6.26,283.0,7.94,249.61,160.0,21.09
6.35,283.0,18.3,249.49,158.86,21.83
6.73,284.0,10.5,248.66,154.26,24.6
6.83,284.0,9.37,248.3,153.14,25.24
6.92,285.0,12.9,247.92,152.15,25.88
7.37,288.0,1.24,245.58,147.41,28.33
8.6,297.0,2.13,235.09,136.47,31.2
9.83,305.0,5.07,222.03,127.66,29.29
