radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
9.93,377.0,10.3,255.96,207.88,-13.26
10.05,377.0,19.7,257.66,206.72,-13.37
10.35,378.0,10.8,261.62,204.38,-13.47
15.07,367.0,10.7,272.35,172.87,-11.85
20.09,364.0,6.67,269.96,151.39,13.97
25.12,375.0,6.19,262.34,134.72,27.34
30.14,383.0,3.82,253.37,123.32,34.12
35.17,378.0,2.21,235.34,114.11,36.15
40.19,364.0,4.0,219.18,106.71,36.15
45.21,349.0,3.0,206.41,100.63,35.84
50.24,338.0,3.08,194.11,95.47,37.87
55.26,332.0,2.19,183.23,91.03,41.62
60.28,330.0,1.61,174.98,87.16,44.55
65.31,329.0,2.2,166.27,83.74,46.17
70.33,330.0,3.53,159.17,80.69,46.48
75.35,332.0,13.4,152.96,77.96,44.86
80.38,333.0,15.3,147.51,75.48,42.32
