radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.75,169.0,4.27,53.73,163.04,0.0
1.55,203.0,4.92,99.45,214.33,0.16
2.3,232.0,5.49,134.15,231.92,0.0
3.06,256.0,4.38,162.98,250.27,1.12
3.85,248.0,3.47,187.48,252.3,10.81
4.61,253.0,5.68,206.85,245.12,18.83
5.36,269.0,8.42,220.81,233.77,25.11
6.12,268.0,4.67,232.37,221.48,29.26
6.91,260.0,5.58,243.48,209.61,31.48
7.66,245.0,8.47,254.23,199.62,32.44
8.42,247.0,6.0,258.51,190.58,32.35
8.86,267.0,10.3,258.41,185.85,32.44
9.21,255.0,7.27,257.39,182.29,32.44
10.82,253.0,11.2,252.03,168.18,33.51
11.56,271.0,11.3,249.34,162.76,34.86
12.4,276.0,8.71,246.01,157.16,37.47
14.17,275.0,10.1,245.22,146.96,44.03
16.88,275.0,10.0,236.05,134.67,57.16
19.49,276.0,11.7,232.49,125.34,67.4
22.19,267.0,15.7,219.85,117.47,77.25
24.8,257.0,15.1,209.2,111.12,79.95
27.51,254.0,13.6,199.59,105.5,78.21
30.12,248.0,11.6,191.82,100.83,75.51
35.43,227.0,11.2,176.46,92.96,77.83
