radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.35,20.9,9.81,48.76,0.0,-0.82
1.07,61.7,8.19,98.26,0.0,-2.5
1.6,81.3,4.32,114.22,0.0,-3.73
3.7,124.0,3.41,144.04,0.0,-7.4
5.09,156.0,7.02,154.24,0.0,-9.39
6.61,166.0,6.34,166.19,0.0,-10.89
8.17,165.0,12.1,171.87,0.0,-5.79
9.11,174.0,4.84,169.05,0.0,9.64
10.37,164.0,5.86,166.21,0.0,17.85
11.28,176.0,7.35,167.76,0.0,22.68
13.62,174.0,3.28,164.88,0.0,31.86
15.04,168.0,2.23,159.31,0.0,35.59
16.37,166.0,2.23,153.0,0.0,38.11
17.59,167.0,4.59,146.12,0.0,40.13
18.8,167.0,5.3,140.2,0.0,41.74
20.13,165.0,3.48,134.43,0.0,42.85
21.35,165.0,3.12,129.7,0.0,43.55
22.57,165.0,2.39,125.69,0.0,44.16
23.89,165.0,2.23,121.68,0.0,45.07
25.11,163.0,2.23,118.15,0.0,46.68
26.33,162.0,2.23,114.89,0.0,48.39
27.65,162.0,2.23,111.67,0.0,50.01
28.87,162.0,2.23,108.99,0.0,51.42
30.09,160.0,2.23,106.1,0.0,52.53
