radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.14,5.23,5.31,4.32,0.0,-0.97
0.42,15.4,7.78,11.34,0.0,0.23
0.69,24.4,4.0,17.59,0.0,3.77
0.97,32.1,4.0,23.49,0.0,5.25
1.25,34.6,4.0,27.96,0.0,5.18
1.52,37.9,4.0,30.3,0.0,-5.25
1.8,40.5,4.0,30.65,0.0,-9.36
2.07,43.0,4.0,30.82,0.0,-9.36
2.35,45.1,4.0,31.07,0.0,-7.81
2.63,45.6,4.0,31.29,0.0,-5.6
2.91,49.2,13.0,31.96,0.0,-4.88
3.19,50.3,4.0,32.66,0.0,-6.06
3.46,53.7,4.19,33.34,0.0,-7.65
3.74,58.0,7.53,33.79,0.0,-8.9
4.01,64.4,4.0,33.93,0.0,-9.52
4.29,67.5,4.0,34.12,0.0,-10.37
4.57,71.3,4.0,34.51,0.0,-8.76
4.85,75.6,4.0,34.99,0.0,1.41
5.13,80.0,4.0,35.27,0.0,9.52
5.4,82.8,4.0,35.21,0.0,17.13
5.68,84.8,15.7,35.26,0.0,23.98
5.86,86.3,16.8,35.38,0.0,27.31
6.36,90.2,8.07,34.91,0.0,36.83
6.51,91.3,4.0,34.54,0.0,39.02
6.69,92.8,8.75,34.02,0.0,38.64
