radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
2.61,120.0,10.5,126.18,0.0,5.71
3.5,148.0,7.5,135.14,0.0,9.28
4.37,168.0,6.2,152.52,0.0,13.15
5.24,182.0,6.1,177.98,0.0,16.38
6.11,190.0,5.2,196.88,0.0,19.18
6.98,194.0,5.7,207.03,0.0,21.66
7.85,195.0,6.1,198.89,0.0,23.38
8.72,193.0,4.8,191.25,0.0,24.46
9.6,192.0,3.9,180.26,0.0,25.0
10.47,192.0,3.5,169.65,0.0,25.65
11.35,191.0,4.4,162.03,0.0,26.73
12.19,189.0,4.8,157.28,0.0,28.34
13.12,185.0,5.3,152.13,0.0,30.6
13.94,182.0,4.5,146.63,0.0,32.54
14.86,179.0,6.6,141.01,0.0,34.38
15.68,176.0,6.2,136.34,0.0,36.42
16.61,174.0,6.6,131.69,0.0,38.36
17.42,178.0,8.7,128.17,0.0,38.9
18.35,177.0,6.2,124.63,0.0,37.93
19.16,169.0,5.9,121.38,0.0,36.96
20.09,158.0,6.3,117.8,0.0,36.1
21.02,158.0,7.6,114.69,0.0,34.92
21.95,158.0,8.9,111.9,0.0,33.73
22.76,159.0,9.0,109.45,0.0,32.65
