radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.47,22.2,2.81,16.14,0.0,-3.85
0.95,43.4,3.47,24.37,0.0,-1.38
1.42,60.2,3.04,30.01,0.0,-0.63
1.9,69.6,2.05,34.64,0.0,8.67
2.37,72.5,2.0,38.52,0.0,11.4
2.84,74.3,2.02,39.29,0.0,11.54
3.3,75.8,2.01,40.32,0.0,12.92
3.78,77.2,2.05,39.87,0.0,16.18
4.25,79.3,2.08,39.64,0.0,18.85
4.73,81.3,2.08,37.47,0.0,23.39
5.2,81.6,2.03,35.37,0.0,23.16
5.67,82.1,2.02,33.69,0.0,23.39
6.15,82.9,2.0,32.23,0.0,22.11
6.62,83.2,2.0,30.9,0.0,22.46
7.1,83.5,2.02,29.56,0.0,26.07
7.57,83.8,2.0,28.4,0.0,25.72
8.04,84.3,2.0,27.44,0.0,26.3
