radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.23,13.1,2.19,11.6,0.0,2.45
0.47,17.3,2.39,13.88,0.0,4.75
0.7,23.6,2.21,13.02,0.0,6.71
0.93,26.2,2.21,11.93,0.0,7.8
1.17,27.4,2.24,10.78,0.0,8.39
1.4,26.9,2.23,9.72,0.0,8.84
1.64,27.4,2.21,8.89,0.0,9.23
1.87,31.0,2.2,8.25,0.0,9.41
2.1,32.5,2.19,7.73,0.0,9.55
2.33,33.0,2.19,7.3,0.0,10.05
2.57,36.5,2.2,6.92,0.0,10.65
2.8,38.9,2.21,6.62,0.0,11.28
3.26,41.5,2.21,6.11,0.0,12.0
3.73,42.7,2.2,5.7,0.0,12.41
4.21,44.7,2.22,5.36,0.0,13.14
4.67,46.7,2.24,5.09,0.0,13.55
5.14,48.5,2.27,4.84,0.0,13.86
5.61,50.0,2.32,4.63,0.0,13.86
6.07,50.2,2.4,4.45,0.0,13.76
6.54,50.1,2.57,4.29,0.0,13.55
7.0,51.6,3.24,4.14,0.0,13.34
