radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.13,232.0,33.4,8.23,149.99,-2.47
0.25,233.0,16.9,15.54,220.78,-2.73
0.38,234.0,14.6,23.07,253.99,-2.63
0.51,235.0,10.6,30.21,269.15,-2.41
0.63,236.0,9.12,36.51,276.27,-2.13
0.76,237.0,10.3,43.02,278.6,-1.79
0.89,238.0,9.95,49.25,279.31,-1.58
1.01,239.0,3.51,54.76,280.44,-1.03
1.14,240.0,3.18,60.48,280.12,0.66
1.27,240.0,5.19,65.96,277.94,1.42
1.39,241.0,3.54,70.82,277.61,1.91
1.52,242.0,2.6,75.88,276.52,2.31
1.65,242.0,1.75,80.73,274.47,2.69
1.77,243.0,1.94,85.03,272.42,3.02
1.9,244.0,3.09,89.52,270.29,3.34
2.03,244.0,1.6,93.85,268.35,3.66
2.16,244.0,3.0,97.99,266.67,3.96
2.28,245.0,2.19,101.66,265.58,4.26
2.41,245.0,3.01,105.49,264.78,4.56
2.54,246.0,2.64,109.17,264.37,4.87
2.66,246.0,2.38,112.45,264.0,5.17
2.79,246.0,3.72,115.87,263.68,5.46
2.92,247.0,3.54,119.17,263.16,5.76
3.04,247.0,3.74,122.1,262.58,6.05
3.17,247.0,5.11,125.13,261.72,6.34
3.3,247.0,3.63,128.05,260.64,6.65
3.42,247.0,3.84,130.65,259.42,6.94
3.55,248.0,5.12,133.35,257.92,7.23
3.68,248.0,2.77,135.94,256.73,7.53
3.8,248.0,3.24,138.27,255.39,7.83
3.93,248.0,6.79,140.68,253.66,8.14
4.06,248.0,8.39,143.0,251.85,8.44
4.18,248.0,2.73,145.04,249.97,8.74
4.31,248.0,13.7,147.17,247.82,9.04
4.44,248.0,4.89,149.24,245.63,9.34
4.56,248.0,5.71,151.08,243.5,9.66
4.69,248.0,15.1,152.98,241.12,9.96
4.82,248.0,10.5,154.8,238.76,10.27
4.94,248.0,1.58,156.43,236.51,10.63
4.99,248.0,4.77,157.09,235.57,10.73
5.07,248.0,4.36,158.13,234.04,10.94
5.2,248.0,8.45,159.77,231.52,11.25
5.45,247.0,8.25,162.71,226.76,11.88
5.58,247.0,2.34,164.01,224.24,12.19
5.7,247.0,2.34,165.02,222.01,12.5
5.83,247.0,6.13,165.84,219.54,12.81
6.47,247.0,6.89,169.31,208.79,14.58
6.59,246.0,5.95,170.15,206.9,14.9
6.66,246.0,2.29,170.65,205.85,15.11
6.72,246.0,4.73,171.08,204.88,15.31
6.85,246.0,3.02,172.07,202.98,15.63
6.97,246.0,5.81,173.03,201.26,16.04
7.1,246.0,6.32,174.15,199.41,16.36
7.23,246.0,8.92,175.27,197.66,16.67
8.32,246.0,2.13,182.58,184.24,19.69
10.0,245.0,2.18,183.56,168.07,23.65
11.61,245.0,0.94,182.9,155.97,26.98
13.35,246.0,2.02,173.27,145.45,29.27
14.98,245.0,1.33,164.53,137.31,30.52
16.61,245.0,1.36,157.52,130.4,32.19
18.34,245.0,1.59,152.73,124.1,34.17
19.97,245.0,2.03,150.07,118.93,36.46
21.6,245.0,2.36,146.26,114.35,38.96
23.33,244.0,4.61,143.04,110.03,41.25
26.7,243.0,10.6,136.92,102.85,44.17
29.95,239.0,17.0,130.32,97.11,44.8
33.32,231.0,18.3,123.68,92.07,44.07
36.68,219.0,12.1,117.57,87.75,44.17
39.94,210.0,7.5,111.91,84.09,43.75
43.3,210.0,3.56,107.39,80.76,43.34
46.67,212.0,2.64,104.0,77.79,44.9
49.92,213.0,6.5,101.06,75.22,46.88
53.29,218.0,6.53,96.26,72.8,47.82
