radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.21,17.4,6.51,18.55,0.0,1.51
0.32,31.0,8.86,25.65,0.0,2.27
0.43,36.1,8.16,29.58,0.0,3.03
0.54,46.0,8.52,33.96,0.0,3.84
0.64,58.0,6.9,36.83,0.0,4.53
0.74,63.4,9.55,39.62,0.0,5.28
0.85,71.9,8.52,43.11,0.0,6.04
0.96,76.4,6.82,46.75,0.0,6.8
1.07,78.1,6.65,50.04,0.0,7.62
1.17,80.5,6.14,52.76,0.0,8.31
1.28,82.8,5.8,55.72,0.0,9.07
1.38,85.6,6.48,58.31,0.0,9.82
1.48,88.0,7.5,61.08,0.0,10.57
1.59,92.0,8.52,63.47,0.0,11.19
1.7,92.4,8.52,65.59,0.0,11.92
1.8,95.1,9.2,66.83,0.0,12.54
1.91,96.5,8.52,68.03,0.0,13.26
2.02,101.0,8.86,68.59,0.0,13.88
2.13,99.9,9.55,69.0,0.0,14.61
2.23,103.0,8.18,69.17,0.0,15.23
2.34,104.0,8.52,69.56,0.0,15.96
2.44,107.0,9.2,69.75,0.0,16.58
2.54,107.0,9.55,69.69,0.0,17.3
2.65,106.0,11.2,69.65,0.0,17.92
2.76,107.0,11.2,69.52,0.0,18.55
7.07,104.0,3.11,52.21,0.0,26.32
8.49,106.0,2.55,47.19,0.0,24.76
9.91,109.0,4.95,43.11,0.0,22.59
11.27,110.0,2.83,40.05,0.0,20.52
