radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.76,206.0,16.0,95.41,277.3,2.44
2.28,214.0,10.0,214.07,218.08,5.15
3.8,222.0,8.0,237.47,168.95,8.48
5.33,224.0,8.0,222.81,142.66,16.65
6.85,225.0,8.0,206.17,125.84,22.4
8.0,222.0,6.0,191.74,116.44,24.58
10.28,220.0,3.0,177.55,102.72,28.49
12.56,218.0,2.0,168.02,92.93,30.21
14.91,219.0,2.0,156.39,85.29,36.41
17.15,217.0,2.0,147.04,79.53,41.69
19.39,218.0,2.0,140.32,74.79,45.72
21.64,220.0,2.0,136.88,70.8,51.92
24.01,222.0,2.0,130.88,67.21,56.74
26.25,218.0,3.0,124.11,64.28,58.35
28.5,217.0,3.0,118.34,61.69,56.74
30.87,207.0,3.0,113.45,59.28,53.3
33.12,199.0,3.0,109.2,57.23,51.34
35.36,191.0,3.0,105.32,55.39,48.7
37.73,193.0,3.0,101.61,53.62,46.75
39.98,192.0,3.0,98.44,52.09,45.26
42.22,194.0,4.0,95.58,50.69,43.99
44.59,196.0,5.0,92.77,49.32,42.84
