radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
3.23,194.0,16.7,37.15,248.5,-7.97
9.18,172.0,8.1,83.53,176.71,-15.63
10.64,170.0,10.7,92.09,164.32,-16.24
11.58,170.0,6.8,99.29,157.52,-16.14
12.52,171.0,6.8,107.74,151.54,-16.04
13.57,172.0,12.1,120.8,145.51,-16.04
15.76,174.0,19.6,131.65,135.02,-15.53
24.94,193.0,23.2,111.71,107.35,18.69
26.3,194.0,23.0,108.26,104.53,21.04
34.96,201.0,7.2,92.64,90.67,34.22
36.84,202.0,17.1,88.8,88.32,37.39
47.38,205.0,16.0,75.25,77.88,54.35
64.59,204.0,16.0,63.17,66.7,61.29
