radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.11,9.1,8.5,27.23,0.0,0.65
0.14,17.6,7.4,29.91,0.0,0.65
0.17,19.3,7.4,32.32,0.0,0.65
0.21,24.8,6.4,35.62,0.0,0.65
0.24,30.0,7.2,37.98,0.0,0.74
0.28,35.0,7.3,40.67,0.0,0.9
0.32,38.3,7.6,43.2,0.0,1.05
0.35,42.7,8.8,45.04,0.0,1.21
0.39,47.0,5.3,47.33,0.0,1.36
0.42,49.8,5.6,48.89,0.0,1.52
0.46,52.2,6.2,51.0,0.0,1.67
0.49,53.4,6.3,52.6,0.0,1.83
0.53,54.6,5.9,54.8,0.0,1.99
0.56,55.5,6.9,56.23,0.0,2.12
0.6,55.9,7.5,57.57,0.0,2.23
0.63,58.3,7.4,58.53,0.0,2.35
0.66,59.3,6.3,59.59,0.0,2.47
0.7,59.5,6.7,61.08,0.0,2.59
0.87,59.1,5.1,66.09,0.0,3.18
1.05,62.6,5.5,69.65,0.0,3.96
1.22,65.6,4.8,72.34,0.0,5.5
1.4,70.7,4.6,75.45,0.0,7.05
1.57,73.9,4.0,78.94,0.0,8.58
1.75,78.5,4.2,82.71,0.0,10.09
1.92,82.4,4.6,87.55,0.0,11.55
2.1,87.1,4.9,92.38,0.0,13.06
2.27,89.6,5.4,95.96,0.0,14.78
2.45,94.9,5.7,96.45,0.0,16.4
2.62,98.1,5.0,95.98,0.0,18.13
2.79,99.3,5.7,96.23,0.0,20.29
2.97,98.6,7.2,96.64,0.0,22.34
3.16,101.0,8.7,96.45,0.0,24.5
3.33,103.0,9.4,95.51,0.0,26.22
3.51,107.0,9.1,94.38,0.0,27.95
3.68,114.0,7.4,93.3,0.0,29.68
3.85,112.0,8.1,92.28,0.0,29.78
4.03,114.0,7.6,91.15,0.0,30.0
4.2,116.0,7.2,89.82,0.0,30.11
4.38,114.0,7.8,88.18,0.0,30.65
4.73,114.0,11.4,85.52,0.0,31.83
5.25,109.0,9.9,82.4,0.0,33.35
5.78,107.0,12.6,77.56,0.0,34.64
6.3,105.0,12.5,74.17,0.0,34.75
6.82,101.0,5.2,71.94,0.0,33.99
7.35,94.5,4.6,69.09,0.0,32.7
7.87,90.8,6.1,66.92,0.0,30.97
