radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.41,33.2,11.6,28.95,0.0,2.21
0.98,50.4,11.8,47.6,0.0,4.41
1.78,53.9,9.75,62.09,0.0,6.75
2.69,67.6,5.1,75.48,0.0,8.55
3.36,81.7,5.06,82.21,0.0,9.18
4.39,102.0,5.35,86.87,0.0,9.29
5.65,116.0,6.44,92.23,0.0,9.5
6.34,132.0,9.1,96.19,0.0,10.22
6.89,137.0,5.25,100.53,0.0,11.87
8.34,154.0,4.2,113.81,0.0,17.23
10.04,163.0,3.28,128.72,0.0,24.23
11.65,170.0,2.41,133.41,0.0,30.75
13.36,175.0,2.18,132.99,0.0,36.2
15.06,177.0,2.23,128.51,0.0,39.42
16.67,178.0,2.03,124.23,0.0,40.49
