radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.63,265.0,15.0,39.69,345.22,-0.69
1.72,250.0,15.0,81.63,298.99,-2.33
2.79,233.0,7.29,104.82,255.24,-3.94
3.91,230.0,6.45,118.95,225.3,-5.06
5.03,228.0,5.37,122.96,203.41,-3.48
6.14,228.0,5.16,120.03,186.27,1.4
7.26,227.0,5.94,115.88,172.25,-1.38
8.37,226.0,3.0,113.5,160.83,5.96
9.5,223.0,3.92,109.97,151.12,11.22
10.65,219.0,2.9,105.99,142.79,16.09
11.74,216.0,2.55,102.02,136.04,18.57
12.82,214.0,2.55,97.84,130.19,19.07
14.01,214.0,3.07,93.27,124.54,17.78
15.09,214.0,3.61,89.43,120.01,20.16
16.18,214.0,4.46,85.93,115.89,23.24
17.36,214.0,5.07,82.48,111.88,23.44
18.44,214.0,4.78,79.67,108.55,23.34
19.53,214.0,4.87,77.35,105.49,22.64
