radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.26,14.6,13.0,5.06,0.0,-0.5
0.44,10.0,7.0,8.17,0.0,-0.86
0.77,10.7,7.13,13.14,0.0,-1.55
0.89,17.4,9.6,14.55,0.0,-1.78
1.22,23.5,11.2,17.29,0.0,-2.43
1.55,31.0,5.2,18.37,0.0,-2.98
1.8,32.3,2.41,18.25,0.0,-3.18
2.21,40.9,5.9,19.06,0.0,-3.53
2.31,43.8,4.26,19.39,0.0,-3.66
2.54,44.8,4.5,20.16,0.0,-4.08
3.1,51.7,12.7,22.16,0.0,-5.16
3.43,55.7,4.5,23.71,0.0,-4.94
3.86,59.4,9.85,24.94,0.0,-3.07
4.09,62.0,4.5,25.34,0.0,1.31
4.37,63.0,3.2,25.74,0.0,4.42
4.76,66.6,6.9,26.09,0.0,7.13
5.4,71.3,2.95,26.17,0.0,11.25
5.86,72.3,15.5,25.92,0.0,13.88
6.08,73.4,6.0,25.73,0.0,14.94
6.43,72.4,5.81,25.39,0.0,16.72
6.97,77.1,12.1,24.74,0.0,19.67
7.96,80.3,13.5,23.76,0.0,24.09
10.29,84.7,6.0,22.09,0.0,31.66
15.49,86.9,5.6,17.78,0.0,39.34
16.26,85.8,8.6,17.09,0.0,39.55
