radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.25,20.9,3.4,17.33,0.0,-0.22
0.83,40.0,3.29,34.96,0.0,-1.8
1.38,51.5,2.96,51.34,0.0,-1.55
1.85,67.9,3.45,61.73,0.0,5.01
2.68,80.2,2.93,60.49,0.0,12.54
3.19,83.3,3.08,63.17,0.0,16.68
3.68,91.4,2.83,65.14,0.0,20.19
4.13,102.0,5.4,66.32,0.0,22.31
5.23,105.0,4.21,64.52,0.0,25.63
6.05,109.0,2.1,60.09,0.0,27.28
6.81,108.0,2.1,55.74,0.0,28.58
7.56,109.0,2.1,53.61,0.0,30.7
8.32,110.0,2.1,51.18,0.0,33.83
9.09,111.0,2.33,49.08,0.0,35.49
9.86,112.0,4.74,46.34,0.0,33.74
