radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.87,24.3,3.9,35.64,0.0,0.0
1.74,49.6,3.9,47.54,0.0,0.0
2.61,73.6,5.2,60.47,0.0,0.0
3.5,101.0,4.4,73.72,0.0,7.38
4.37,107.0,3.5,85.03,0.0,13.36
5.24,115.0,3.5,96.27,0.0,14.01
6.11,123.0,3.9,104.34,0.0,12.18
6.98,130.0,3.9,107.5,0.0,18.32
7.85,134.0,3.5,109.28,0.0,21.34
8.72,136.0,3.9,108.62,0.0,21.77
9.6,137.0,4.0,107.75,0.0,27.37
10.47,136.0,3.5,106.05,0.0,29.53
11.35,137.0,3.5,103.37,0.0,32.11
12.19,137.0,3.5,100.58,0.0,32.87
13.12,137.0,5.0,96.92,0.0,30.82
13.94,138.0,5.0,93.04,0.0,32.01
14.86,137.0,7.5,88.38,0.0,31.79
