radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.63,262.0,73.6,82.82,389.26,-0.79
0.79,250.0,55.5,98.9,366.12,-0.85
0.95,241.0,42.9,113.48,343.54,-0.88
1.11,234.0,31.9,126.74,322.48,-0.87
1.27,228.0,28.8,138.83,303.96,-0.8
1.43,225.0,24.2,149.76,286.96,-0.68
1.59,222.0,12.2,159.73,272.22,-0.44
1.9,221.0,6.34,176.94,249.03,0.78
2.06,221.0,12.2,185.04,239.17,1.08
2.22,222.0,16.9,192.44,230.43,1.32
2.38,222.0,26.0,199.32,222.52,1.56
2.79,221.0,13.1,211.11,205.57,2.09
2.86,221.0,11.8,212.46,203.04,2.18
3.02,220.0,22.9,214.79,197.59,2.37
4.17,205.0,8.45,211.54,168.15,2.86
5.56,190.0,13.3,194.36,145.62,-1.54
6.96,190.0,8.87,186.95,130.15,-5.89
8.35,198.0,3.19,182.36,118.83,-6.18
9.73,204.0,2.56,181.71,110.08,5.96
11.14,204.0,1.09,174.04,102.88,14.87
12.51,201.0,0.57,166.83,97.08,22.04
13.88,203.0,0.75,161.75,92.17,28.09
15.35,202.0,0.89,157.11,87.64,32.2
16.72,198.0,1.58,151.02,83.97,34.45
18.08,195.0,1.5,144.44,80.75,34.96
19.45,194.0,2.16,137.88,77.86,34.55
20.92,192.0,6.21,131.28,75.07,33.63
22.92,190.0,3.14,123.21,71.72,31.78
25.02,191.0,14.6,116.76,68.65,29.63
29.23,193.0,18.6,106.8,63.51,26.35
