radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
1.74,96.4,12.1,129.95,70.64,5.73
3.5,157.0,10.5,217.21,49.8,16.49
5.24,192.0,8.4,237.63,40.7,21.44
6.98,201.0,6.9,246.25,35.27,24.35
8.72,201.0,7.3,251.02,31.55,30.5
10.47,194.0,6.4,230.73,28.8,41.92
12.19,190.0,6.0,208.57,26.69,51.62
13.94,186.0,6.4,192.8,24.96,50.11
15.68,184.0,6.4,179.28,23.53,48.39
17.42,182.0,7.3,169.24,22.32,52.05
19.16,181.0,6.6,160.07,21.29,50.54
20.9,183.0,6.5,151.49,20.38,48.06
22.65,185.0,6.5,145.0,19.58,52.27
24.39,186.0,9.1,138.91,18.87,50.33
26.13,186.0,11.4,133.62,18.23,47.42
27.87,184.0,13.6,128.95,17.65,44.83
29.61,185.0,13.6,124.77,17.12,43.0
