radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.34,35.5,2.1,41.97,0.0,-2.27
0.67,62.4,4.2,62.26,0.0,-3.73
1.0,90.7,3.8,80.4,0.0,-5.02
1.32,104.0,2.0,86.74,0.0,-6.13
1.65,105.0,2.4,92.13,0.0,-7.07
1.98,108.0,2.0,97.94,0.0,-7.85
2.31,116.0,2.3,104.95,0.0,-8.46
2.63,130.0,3.3,112.27,0.0,-8.8
2.96,141.0,2.2,120.94,0.0,-8.85
3.28,146.0,1.6,129.34,0.0,-8.55
3.61,150.0,1.4,137.29,0.0,-7.82
3.94,152.0,1.1,143.65,0.0,-6.39
4.27,155.0,1.3,148.22,0.0,-3.64
4.6,152.0,1.8,149.97,0.0,4.74
4.94,150.0,2.4,149.81,0.0,8.31
5.3,147.0,5.5,147.82,0.0,11.17
5.63,145.0,3.8,145.9,0.0,13.71
5.96,152.0,4.1,145.72,0.0,15.93
6.27,149.0,1.4,145.22,0.0,18.03
8.24,149.0,4.0,136.77,0.0,27.98
10.3,146.0,4.0,123.8,0.0,36.61
11.13,149.0,3.2,119.88,0.0,39.92
11.95,152.0,2.8,116.47,0.0,43.13
12.72,153.0,2.4,112.55,0.0,45.67
13.58,156.0,2.2,108.33,0.0,47.33
14.43,158.0,2.8,104.74,0.0,48.11
15.29,158.0,3.1,101.4,0.0,48.44
16.02,159.0,3.8,98.71,0.0,48.44
16.88,161.0,3.6,95.6,0.0,48.11
17.73,163.0,4.0,92.8,0.0,47.66
18.59,162.0,4.8,90.22,0.0,47.0
19.32,164.0,5.7,88.2,0.0,46.67
20.18,165.0,7.0,85.97,0.0,46.56
21.04,166.0,6.3,83.92,0.0,46.12
21.89,163.0,7.0,82.02,0.0,45.56
22.63,159.0,8.5,80.48,0.0,45.34
23.48,155.0,9.1,78.82,0.0,45.12
24.34,154.0,8.0,77.25,0.0,44.68
25.19,149.0,5.4,75.79,0.0,44.57
25.93,153.0,3.1,74.58,0.0,46.56
26.78,156.0,3.0,73.28,0.0,42.58
27.64,151.0,9.4,72.03,0.0,40.7
28.37,158.0,7.7,71.03,0.0,39.26
29.23,152.0,3.4,69.88,0.0,38.26
