radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
2.5,206.0,75.0,122.77,171.6,0.0
7.49,285.0,8.0,218.15,99.53,0.0
12.54,291.0,7.0,234.07,76.92,0.0
17.45,274.0,5.0,221.55,65.21,0.0
22.47,266.0,4.0,205.25,57.46,23.41
27.48,255.0,2.0,190.15,51.96,35.47
32.5,250.0,2.0,174.2,47.78,42.22
37.51,242.0,2.0,160.68,44.48,45.59
42.42,237.0,2.0,149.48,41.82,49.68
47.44,235.0,2.0,139.94,39.55,50.91
52.45,236.0,2.0,131.98,37.61,48.66
57.47,242.0,2.0,125.25,35.93,50.7
62.48,246.0,2.0,119.5,34.46,51.01
67.4,242.0,4.0,114.62,33.18,48.35
72.41,242.0,5.0,110.24,32.01,44.77
