radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.62,35.1,4.01,71.2,0.0,0.82
1.23,64.6,4.19,112.64,0.0,1.0
1.83,80.1,6.32,139.71,0.0,2.09
2.47,113.0,10.4,159.08,0.0,3.39
3.08,136.0,7.59,171.23,0.0,2.17
3.68,150.0,7.75,180.9,0.0,0.18
4.32,171.0,9.19,190.21,0.0,0.0
4.91,192.0,9.16,198.61,0.0,0.2
5.53,197.0,9.96,213.09,0.0,0.2
6.17,195.0,12.4,230.24,0.0,0.0
6.78,196.0,7.09,253.17,0.0,0.58
7.38,216.0,5.99,275.53,0.0,2.58
8.0,225.0,5.24,287.96,0.0,0.0
8.62,240.0,6.15,290.86,0.0,0.0
9.23,247.0,4.37,295.63,0.0,7.92
9.85,254.0,6.48,302.1,0.0,16.06
10.43,257.0,7.41,307.81,0.0,21.24
11.05,273.0,5.38,312.49,0.0,23.48
11.67,272.0,5.98,316.07,0.0,24.19
12.19,270.0,20.9,319.44,0.0,23.78
12.91,279.0,9.4,323.2,0.0,22.46
14.56,287.0,10.8,326.62,0.0,23.48
16.63,291.0,10.0,316.26,0.0,24.49
17.77,286.0,9.67,310.12,0.0,24.49
18.49,288.0,6.96,307.21,0.0,26.12
20.24,289.0,6.63,301.54,0.0,41.26
22.62,288.0,10.0,294.39,0.0,55.9
24.89,269.0,8.23,286.32,0.0,53.66
27.06,267.0,7.11,273.02,0.0,52.14
29.13,272.0,5.36,261.41,0.0,47.05
31.3,274.0,5.78,250.43,0.0,45.53
33.46,259.0,5.81,239.85,0.0,50.92
35.53,272.0,6.69,229.51,0.0,49.39
37.7,274.0,6.39,219.93,0.0,46.04
39.87,272.0,5.59,212.13,0.0,49.19
41.93,266.0,8.82,205.47,0.0,49.09
