radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.28,107.0,30.2,13.69,91.46,-1.6
0.55,121.0,15.6,26.0,143.82,-2.32
0.83,134.0,8.69,37.95,161.88,-3.04
1.39,157.0,12.5,60.02,171.18,-4.39
1.65,168.0,11.7,69.62,173.79,-4.98
3.04,207.0,8.04,115.86,156.1,-7.06
3.32,213.0,6.53,124.12,149.78,-7.33
3.59,218.0,11.2,132.68,144.22,-7.54
3.87,222.0,6.05,142.15,138.97,-7.69
4.15,226.0,5.41,153.48,134.27,-7.79
4.43,229.0,5.96,164.2,129.95,-7.83
4.7,232.0,7.41,172.5,126.18,-7.81
4.97,234.0,6.1,178.86,122.67,-7.72
5.25,235.0,3.89,184.4,119.35,-7.58
5.52,236.0,9.03,190.48,116.43,-7.35
5.8,237.0,10.0,196.76,113.55,-7.05
6.08,237.0,7.36,202.21,110.91,-6.7
6.36,237.0,10.2,207.12,108.43,-6.27
6.63,236.0,10.4,210.37,106.22,-5.76
6.91,236.0,5.83,212.88,104.02,-5.16
7.19,235.0,5.43,214.54,101.99,-4.56
7.27,234.0,8.36,214.82,101.43,-4.39
7.46,234.0,7.88,215.36,100.13,-3.95
8.02,231.0,8.17,216.46,96.57,1.42
8.29,229.0,5.82,216.57,94.99,3.82
8.56,228.0,7.21,216.49,93.48,5.49
8.84,226.0,18.2,215.92,91.98,7.01
9.12,224.0,9.11,215.26,90.56,8.51
9.69,221.0,5.56,213.03,87.86,11.96
12.11,216.0,3.21,197.34,78.59,24.01
14.58,220.0,1.89,180.81,71.62,33.03
14.68,220.0,7.66,180.14,71.38,33.34
15.2,221.0,9.52,176.93,70.15,34.96
15.5,221.0,13.6,175.4,69.47,35.77
15.71,221.0,8.15,174.35,69.0,36.68
16.02,221.0,4.11,172.9,68.33,37.49
16.32,221.0,5.37,171.46,67.7,38.3
16.53,221.0,5.06,170.51,67.27,39.11
16.84,221.0,11.4,169.21,66.64,39.92
16.94,221.0,2.56,168.81,66.45,40.33
19.4,218.0,1.7,157.9,62.09,47.22
21.77,216.0,1.13,148.59,58.61,52.28
24.23,215.0,1.77,138.99,55.56,54.82
26.69,212.0,2.47,130.82,52.94,55.53
29.06,208.0,1.44,124.32,50.73,54.01
31.52,209.0,2.88,118.54,48.71,51.78
36.34,220.0,4.09,109.34,45.37,47.22
40.04,220.0,6.32,103.66,43.22,42.76
