radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.19,153.0,8.0,24.4,233.17,0.96
0.56,130.0,9.0,62.52,168.53,2.86
0.94,128.0,3.0,91.94,137.01,4.5
1.22,134.0,3.0,109.48,120.39,5.34
1.59,129.0,4.0,127.82,105.47,6.46
1.96,131.0,7.0,138.39,94.99,6.51
2.34,138.0,8.0,151.17,86.94,6.51
2.71,139.0,5.0,166.55,80.79,6.44
2.99,143.0,3.0,170.5,76.91,6.38
3.37,146.0,2.0,177.07,72.44,7.55
3.74,154.0,2.0,180.71,68.77,10.54
4.12,161.0,1.0,184.13,65.52,12.86
4.4,167.0,2.0,187.91,63.4,13.54
4.77,173.0,2.0,193.15,60.89,14.41
5.15,176.0,4.0,197.95,58.6,17.51
5.52,178.0,5.0,204.45,56.6,20.8
5.89,180.0,3.0,204.89,54.8,23.41
6.17,179.0,4.0,201.57,53.54,25.15
6.55,180.0,5.0,200.86,51.96,27.66
6.92,181.0,4.0,201.34,50.55,31.15
7.3,179.0,4.0,198.33,49.22,34.05
7.58,179.0,2.0,194.96,48.3,34.92
7.95,179.0,1.0,189.92,47.17,35.89
8.33,178.0,1.0,184.93,46.08,37.34
8.7,177.0,2.0,182.77,45.09,38.88
9.08,176.0,2.0,181.24,44.13,39.08
9.36,173.0,3.0,179.87,43.47,38.4
9.73,172.0,2.0,177.19,42.63,37.72
10.1,172.0,2.0,174.69,41.85,37.43
10.48,170.0,2.0,171.99,41.08,37.14
10.76,171.0,2.0,170.15,40.54,36.66
11.13,174.0,2.0,167.51,39.86,35.89
11.51,174.0,2.0,164.95,39.2,36.08
11.88,175.0,2.0,162.35,38.58,36.76
12.26,174.0,2.0,159.81,37.98,37.82
12.54,173.0,6.0,158.0,37.55,38.79
12.91,173.0,6.0,155.62,37.01,40.14
13.29,173.0,8.0,153.17,36.48,42.08
13.66,175.0,9.0,150.89,35.98,44.01
14.03,174.0,9.0,148.68,35.5,45.46
14.31,171.0,9.0,147.06,35.16,46.53
14.69,167.0,8.0,144.87,34.7,45.94
15.06,165.0,7.0,142.8,34.27,44.59
15.44,163.0,8.0,140.8,33.84,44.01
15.72,162.0,8.0,139.35,33.54,44.2
16.09,161.0,9.0,137.46,33.15,33.85
16.47,159.0,10.0,135.59,32.77,33.85
16.84,158.0,10.0,133.88,32.41,33.85
17.21,157.0,10.0,132.2,32.06,33.85
17.5,157.0,10.0,130.89,31.79,33.85
17.87,157.0,9.0,129.3,31.46,33.85
18.24,160.0,11.0,127.8,31.14,33.85
18.62,159.0,12.0,126.3,30.82,33.85
18.9,160.0,14.0,125.2,30.59,33.85
19.27,158.0,16.0,123.92,30.3,33.85
19.65,155.0,18.0,122.75,30.0,33.85
20.02,157.0,19.0,121.08,29.72,33.85
20.4,154.0,21.0,119.5,29.44,33.85
