radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
2.43,62.2,5.69,136.53,0.0,10.89
3.65,88.2,3.85,148.1,0.0,14.29
4.86,107.0,4.42,150.72,0.0,16.72
6.08,120.0,3.93,151.05,0.0,25.95
7.29,124.0,5.15,157.64,0.0,32.85
8.51,128.0,4.29,155.32,0.0,38.2
9.73,133.0,5.36,153.04,0.0,40.33
10.96,138.0,6.78,152.74,0.0,39.17
12.19,143.0,6.42,150.89,0.0,46.36
13.41,146.0,5.4,145.59,0.0,53.75
14.55,148.0,4.5,141.61,0.0,56.66
15.78,154.0,4.46,137.81,0.0,60.84
17.0,158.0,4.02,133.01,0.0,62.11
18.23,159.0,5.07,128.36,0.0,60.94
19.46,160.0,7.33,123.99,0.0,60.06
20.69,158.0,7.82,120.09,0.0,64.05
21.92,155.0,8.07,117.0,0.0,63.17
23.14,156.0,7.93,113.92,0.0,61.23
24.28,154.0,9.09,110.72,0.0,62.4
25.51,150.0,13.4,107.64,0.0,60.16
26.73,141.0,20.1,105.08,0.0,64.54
27.96,152.0,16.0,102.79,0.0,66.58
