radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.11,6.8,3.62,11.98,0.0,1.06
0.17,9.5,4.31,15.44,0.0,1.76
0.24,14.0,3.11,19.52,0.0,2.47
0.31,19.8,5.5,23.11,0.0,2.93
0.38,26.1,3.9,26.27,0.0,3.29
0.45,28.7,3.5,29.18,0.0,3.99
0.52,28.7,2.7,32.19,0.0,4.46
0.59,31.7,2.5,35.22,0.0,4.93
0.66,35.5,2.3,38.01,0.0,5.88
0.73,39.4,2.1,40.66,0.0,6.93
0.8,42.9,2.3,43.36,0.0,7.52
0.87,46.0,2.6,45.92,0.0,8.45
0.94,49.1,3.1,48.76,0.0,9.28
1.01,49.2,3.2,52.24,0.0,10.11
1.08,51.4,3.2,55.81,0.0,11.31
1.14,57.2,3.1,58.54,0.0,13.04
1.21,63.8,2.9,61.95,0.0,15.48
1.29,67.8,2.8,66.07,0.0,17.62
1.35,69.8,3.3,68.88,0.0,19.66
1.42,71.7,3.9,71.85,0.0,21.7
1.49,74.1,4.4,74.58,0.0,23.73
1.56,76.7,4.8,76.94,0.0,25.98
1.63,79.9,4.4,78.73,0.0,27.71
1.74,83.6,3.35,80.17,0.0,30.15
1.93,83.9,3.95,78.52,0.0,29.44
2.1,88.7,4.44,75.56,0.0,29.75
2.27,85.3,5.36,73.66,0.0,29.85
