radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.12,134.0,41.1,7.68,179.06,-0.73
0.24,208.0,35.5,14.95,278.38,-0.84
0.35,252.0,27.1,21.23,309.46,-0.93
0.47,272.0,11.6,27.71,321.2,-1.09
0.59,276.0,12.6,33.83,323.58,-1.27
0.71,271.0,16.3,39.63,323.15,-1.49
0.83,266.0,11.9,45.13,320.31,-1.72
0.94,262.0,12.2,49.93,316.84,-1.96
1.06,260.0,12.1,54.94,314.79,-2.21
1.18,260.0,11.9,59.69,313.21,-2.45
1.3,259.0,8.04,64.21,311.21,-2.69
1.42,257.0,10.2,68.53,309.11,-2.93
1.53,254.0,9.68,72.32,306.55,-3.17
1.66,244.0,4.95,76.57,303.54,-3.41
1.89,228.0,9.83,83.6,297.2,-3.87
2.01,220.0,18.6,87.03,293.4,-4.09
2.13,215.0,4.11,90.32,289.39,-4.3
2.24,213.0,16.1,93.19,285.56,-4.5
3.1,228.0,9.59,112.13,255.35,-5.53
3.79,236.0,7.22,121.66,232.68,-5.65
3.9,236.0,7.24,122.76,229.34,-5.61
4.14,237.0,8.26,124.89,222.83,-5.45
4.25,237.0,4.07,125.78,219.95,-5.32
4.37,237.0,4.04,126.75,216.93,-5.15
4.49,237.0,1.94,127.73,214.04,-4.93
4.61,237.0,1.49,128.73,211.23,-4.62
4.72,236.0,2.38,129.65,208.76,-4.24
5.16,235.0,2.4,133.7,199.77,-1.43
5.43,234.0,4.05,136.22,194.84,3.32
5.56,233.0,3.03,137.4,192.59,4.2
5.67,233.0,2.48,138.33,190.72,4.99
5.79,233.0,3.03,139.24,188.73,5.73
5.91,232.0,6.7,139.93,186.59,6.43
6.03,232.0,7.44,140.45,184.7,7.14
6.2,232.0,1.64,141.04,182.21,8.18
6.5,233.0,14.3,142.01,177.9,9.96
6.85,235.0,7.57,143.12,173.33,11.78
6.98,236.0,3.05,143.59,171.7,12.31
7.09,236.0,2.91,144.05,170.36,12.85
7.21,237.0,4.07,144.62,168.93,13.38
7.22,238.0,2.02,144.67,168.82,13.48
7.33,238.0,6.76,145.21,167.55,13.91
7.45,239.0,3.49,145.73,166.2,14.44
7.56,240.0,10.1,146.08,164.99,14.86
8.26,247.0,0.85,144.87,157.97,17.52
8.98,252.0,8.91,141.68,151.5,19.64
9.09,253.0,7.13,141.18,150.58,19.85
9.3,254.0,0.73,140.17,148.87,20.28
10.32,253.0,0.96,134.57,141.32,21.76
11.38,247.0,1.99,131.1,134.58,22.29
12.4,238.0,3.15,127.84,128.93,22.29
13.41,229.0,1.67,125.7,123.98,21.87
14.43,223.0,3.52,123.24,119.52,21.55
15.44,220.0,1.13,120.61,115.54,21.55
16.57,220.0,1.12,117.78,111.53,22.08
17.58,224.0,1.93,115.53,108.28,22.61
18.6,228.0,2.04,113.08,105.27,23.25
19.61,234.0,2.55,110.31,102.52,24.2
20.62,239.0,2.91,107.85,99.98,26.01
21.64,243.0,3.08,105.68,97.6,28.66
22.77,245.0,3.6,103.62,95.14,31.74
23.78,247.0,2.67,101.87,93.1,34.4
24.79,249.0,3.37,99.95,91.18,36.31
25.81,250.0,2.08,97.79,89.36,37.37
26.82,251.0,1.68,95.84,87.67,37.79
27.84,251.0,2.78,94.22,86.04,37.79
29.41,248.0,3.4,91.66,83.72,37.26
30.99,246.0,2.91,88.64,81.55,36.63
32.57,249.0,3.46,86.0,79.55,35.88
34.03,252.0,3.23,84.24,77.83,35.14
37.19,255.0,4.16,79.85,74.45,33.12
