radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
1.08,34.6,0.9,22.18,0.0,2.87
1.61,47.0,0.8,29.63,0.0,4.22
2.15,59.1,3.1,34.54,0.0,5.53
2.7,64.4,1.4,38.17,0.0,7.02
3.22,67.4,2.3,41.49,0.0,8.74
3.77,69.8,0.7,44.33,0.0,10.74
4.31,71.3,1.1,46.65,0.0,12.87
4.85,73.2,1.7,48.71,0.0,14.02
5.38,75.1,3.0,50.36,0.0,14.25
5.92,78.5,3.8,51.67,0.0,15.4
6.46,81.4,5.0,52.6,0.0,17.47
6.99,83.5,7.0,53.23,0.0,20.12
7.53,87.1,7.2,53.67,0.0,23.34
8.07,90.7,4.8,54.09,0.0,25.63
8.62,93.1,1.4,54.75,0.0,27.36
9.14,95.9,2.1,55.29,0.0,29.31
9.69,98.4,5.2,55.46,0.0,31.5
10.23,101.0,8.2,55.35,0.0,33.45
10.76,103.0,9.4,54.98,0.0,35.18
11.3,104.0,9.4,54.45,0.0,36.44
11.84,105.0,8.9,53.82,0.0,37.01
12.38,105.0,8.4,53.2,0.0,37.01
12.91,105.0,9.0,52.54,0.0,36.33
13.48,106.0,8.4,51.7,0.0,35.29
14.01,108.0,7.7,50.9,0.0,34.03
14.54,107.0,9.2,50.18,0.0,32.65
