radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.32,24.4,35.9,63.28,0.0,0.0
0.64,43.3,16.3,73.66,0.0,0.0
0.96,45.5,16.1,78.98,0.0,0.0
1.28,58.5,15.4,82.7,0.0,0.35
1.61,68.8,7.61,84.22,0.0,0.15
1.93,76.9,10.3,83.17,0.0,-0.05
2.24,82.0,8.09,87.04,0.0,-0.47
2.57,86.9,7.6,88.91,0.0,-0.95
2.89,97.6,3.03,88.98,0.0,-1.43
3.21,100.0,5.31,93.81,0.0,-1.14
3.54,107.0,7.51,101.22,0.0,-0.39
3.85,113.0,7.32,108.53,0.0,0.36
4.17,117.0,5.21,115.51,0.0,1.52
4.5,119.0,5.67,120.51,0.0,3.07
4.82,127.0,5.39,125.42,0.0,4.63
5.15,132.0,4.34,129.4,0.0,6.02
5.46,134.0,2.36,133.15,0.0,7.16
5.78,137.0,0.89,136.45,0.0,8.31
6.1,140.0,2.84,139.41,0.0,9.46
6.43,142.0,0.88,141.85,0.0,10.61
6.74,144.0,1.23,142.32,0.0,11.77
7.06,146.0,1.57,140.94,0.0,12.87
8.04,147.0,3.0,135.68,0.0,16.39
9.04,148.0,3.0,130.79,0.0,20.03
10.04,152.0,2.0,128.1,0.0,23.68
11.04,155.0,2.0,126.67,0.0,27.08
12.05,156.0,2.0,124.98,0.0,30.11
14.05,157.0,2.0,118.12,0.0,34.48
16.07,153.0,2.0,108.22,0.0,36.43
18.13,153.0,2.0,101.1,0.0,37.76
20.05,154.0,2.0,96.4,0.0,39.83
22.12,153.0,2.0,91.56,0.0,40.92
24.03,150.0,2.0,87.03,0.0,41.77
26.1,149.0,2.0,82.67,0.0,43.71
28.16,148.0,2.0,79.06,0.0,45.41
30.08,146.0,2.0,76.07,0.0,45.29
32.14,147.0,2.0,73.27,0.0,44.56
34.06,148.0,2.0,70.91,0.0,44.81
36.12,148.0,2.0,68.62,0.0,45.9
38.19,149.0,2.0,66.59,0.0,46.75
40.1,150.0,2.0,64.84,0.0,47.48
42.17,150.0,3.0,63.1,0.0,48.93
44.08,149.0,3.0,61.63,0.0,47.84
